mots,valeur
pas de repos de gardes,1
pas de repos de garde,1
aucun repos de garde,1
refus de conge,1
refus de conges,1
refusait mes conges,1
refusait les conges,1
refuse les conges,1
refuse les conges,1
repos de securite,1
respecte pas les horaires,1
respectent pas les horaires,1
pas de respect des,0.75
pas de chambres,0.75
pas de chambre,0.75
dortoir,0.75
dortoirs,0.75
rat,0.75
rats,0.75
cafard,0.75
cafards,0.75
matelas,0.75
